date,time,title,instructor,capacity
2026-07-01,14:30,椅子瑜伽,小柔老師,20
2026-07-02,19:30,療癒陰瑜伽,小柔老師,20
2026-07-03,14:30,階梯有氧,小柔老師,20
2026-07-07,19:30,階梯有氧,小柔老師,20
2026-07-08,14:30,流動瑜伽,小柔老師,20
2026-07-09,19:30,椅子瑜伽,小柔老師,20
2026-07-14,19:30,階梯有氧,小柔老師,20
2026-07-15,14:30,哈達瑜伽,小柔老師,20
2026-07-16,19:30,流動瑜伽,小柔老師,20
2026-07-17,14:30,階梯有氧,小柔老師,20
2026-07-21,19:30,階梯有氧,小柔老師,20
2026-07-22,14:30,皮拉提斯,小柔老師,20
2026-07-23,19:30,哈達瑜伽,小柔老師,20
2026-07-24,14:30,階梯有氧,小柔老師,20
2026-07-28,19:30,階梯有氧,小柔老師,20
2026-07-29,14:30,椅子瑜伽,小柔老師,20
2026-07-30,19:30,療癒陰瑜伽,小柔老師,20
2026-07-31,14:30,階梯有氧,小柔老師,20
